Used_Hashtag(s),Tweet_Content,Post_Length,Likes_Count,Tweet_DateTime,Replies_Count,Retweets_Count,Image(s),video(s),GIF(s),HaveText,Tweet_URL,Reply_Content,Reply_URL
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@Gap Noticed how @Gap is still selling #pride merchandise but didn't change their social media logos this year. https://t.co/PPvogmof9x,https://twitter.com/MRodrigoX/status/1670829831196377091
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@Gap @Google @Adobe @Barbie https://t.co/LEDikBXJ6V,https://twitter.com/RockiesProgs/status/1669704203646775296
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@Gap @Google @Adobe @Barbie @gap is a cheap company that makes low quality products. Shame on anyone who buys their clothes.,https://twitter.com/bobbybauerU/status/1669406005485027351
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,"@Gap @Google @Adobe @Barbie Tell John Fisher to sell the A's.  
Tell John Fisher to sell the A's.
Tell John Fisher to sell the A's.
Tell John Fisher to sell the A's.
Tell John Fisher to sell the A's.
Tell John Fisher to sell the A's.
Tell John Fisher to sell the A's.
Tell John Fisher to sell the A's.",https://twitter.com/tratz22/status/1669103988875366400
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,"@Gap @Google @Adobe @Barbie SELL THE TEAM 
#FisherOut",https://twitter.com/JoeBlow48791278/status/1668947419772637184
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@Gap @Google @Adobe @Barbie I Love You @Gap 💕💕,https://twitter.com/mooretoroi/status/1661385341662646272
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@Gap @GoogleARVR @Google @Adobe @Barbie Superb,https://twitter.com/bhujdigitalpay/status/1660268678653550592
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@Gap @Google @Adobe @Barbie Boycott $GSP #selltheteam @Athletics,https://twitter.com/BitcoinJesus666/status/1658714693102628864
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@Gap @Google @Adobe @Barbie 🅰️Ⓜ️😊🆙⭕️🌎,https://twitter.com/inside_toda17/status/1657053713738108929
,"WELCOME TO GAP X BARBIE

We’re transforming our iconic Times Square store into an immersive Gap X Barbie AR experience where you can sneak peek the collab that’s dropping later this month. 

Experience powered by @Google Geospatial Creator in @Adobe Aero. // @Barbie https://t.co/PCGDd8BvS0",290,88,2023-05-11 21:11:36+00:00,39,34,0,1,0,True,https://twitter.com/Gap/status/1656769047759912960,@Gap @Google @Adobe @Barbie 🅰️Ⓜ️😊🆙⭕️🌎,https://twitter.com/Cricket_smile10/status/1657053686240251905
