Used_Hashtag(s),Tweet_Content,Post_Length,Likes_Count,Tweet_DateTime,Replies_Count,Retweets_Count,Image(s),video(s),GIF(s),HaveText,Tweet_URL,Reply_Content,Reply_URL
#zara,The new lingerie collection #zara https://t.co/u3d9zrVNfE https://t.co/WaPPfSLzLo,81,74,2023-08-28 16:30:03+00:00,4,7,1,0,0,True,https://twitter.com/ZARA/status/1696198469193715793,@ZARA Buy Zara and your helping killing the Earth and killing people in the sweat shops of the third world,https://twitter.com/phaze_monkey/status/1696253785767657601
#zara,The new lingerie collection #zara https://t.co/u3d9zrVNfE https://t.co/WaPPfSLzLo,81,74,2023-08-28 16:30:03+00:00,4,7,1,0,0,True,https://twitter.com/ZARA/status/1696198469193715793,@ZARA 10 weeks pending refund and you don’t answer messages dreadful company!,https://twitter.com/joanna_shi40867/status/1696239808899596435
#zara,The new lingerie collection #zara https://t.co/u3d9zrVNfE https://t.co/y5D73zNxMq,81,60,2023-08-28 11:16:22+00:00,4,9,1,0,0,True,https://twitter.com/ZARA/status/1696119529133535732,"@sarygc123 @ZARA Benim de para iademi yapmiyorlar, oyalayip duruyorlar! @ZARA_Care",https://twitter.com/sensizim_yinee/status/1696535260392288623
#zara,The new lingerie collection #zara https://t.co/u3d9zrVNfE https://t.co/y5D73zNxMq,81,60,2023-08-28 11:16:22+00:00,4,9,1,0,0,True,https://twitter.com/ZARA/status/1696119529133535732,@ZARA love this style,https://twitter.com/semir_intl/status/1696345262049079505
#zara,The new lingerie collection #zara https://t.co/u3d9zrVNfE https://t.co/y5D73zNxMq,81,60,2023-08-28 11:16:22+00:00,4,9,1,0,0,True,https://twitter.com/ZARA/status/1696119529133535732,@ZARA black is always classic,https://twitter.com/semir_intl/status/1696345212820623566
#zara,The new lingerie collection #zara https://t.co/u3d9zrVNfE https://t.co/y5D73zNxMq,81,60,2023-08-28 11:16:22+00:00,4,9,1,0,0,True,https://twitter.com/ZARA/status/1696119529133535732,@ZARA ☺️ https://t.co/DpyLOD3KPQ,https://twitter.com/alicejanneciel1/status/1696121041406570723
,INTO THE LAYERING. A new collection that is born from combinable fragrances to create an exclusive perfume with a very personal character https://t.co/pdl8wrRPxm https://t.co/8GvtL1cWvB,185,34,2023-08-24 17:00:18+00:00,4,6,1,0,0,True,https://twitter.com/ZARA/status/1694756528165920777,@ZARA Worst company ever. Had gone shopping to select a city walk and visit the Zara showroom I found something shocking the trial room had curtains Even Zara can't afford a Gate in the trial room😒😒. Immediately left the Zara showroom.,https://twitter.com/Mau766255697004/status/1695500796044206107
,INTO THE LAYERING. A new collection that is born from combinable fragrances to create an exclusive perfume with a very personal character https://t.co/pdl8wrRPxm https://t.co/8GvtL1cWvB,185,34,2023-08-24 17:00:18+00:00,4,6,1,0,0,True,https://twitter.com/ZARA/status/1694756528165920777,"@MOYOURMEADOW Hello, we are sorry to hear this. Kindly send us a DM on our Customer Support page @ZARA_Care, so we may assist further. Thank you.",https://twitter.com/ZARA/status/1695100155559612766
,INTO THE LAYERING. A new collection that is born from combinable fragrances to create an exclusive perfume with a very personal character https://t.co/pdl8wrRPxm https://t.co/8GvtL1cWvB,185,34,2023-08-24 17:00:18+00:00,4,6,1,0,0,True,https://twitter.com/ZARA/status/1694756528165920777,@ZARA Will never buy from Zara again. Shocking customer service.,https://twitter.com/MOYOURMEADOW/status/1695092394742501881
#zara,Shine bright like a diamond! https://t.co/u3d9zrVNfE #zara https://t.co/OrUVQHoGSb,82,44,2023-08-21 18:00:16+00:00,14,8,1,0,0,True,https://twitter.com/ZARA/status/1693684456404746453,@ZARA ✌️☺️,https://twitter.com/alicejanneciel1/status/1695399201545519365
